data_hora,ip,pagina,idioma,resolucio,referer,durada
"2025-11-25 20:03:57","43.173.176.252","pag_principal","en-US","1280x1200","","None"
"2025-11-25 02:41:40","173.252.82.1","pag_principal","en-US","2000x2000","http://m.facebook.com","None"
"2025-11-25 02:41:24","173.252.82.9","pag_principal","en-US","412x915","http://m.facebook.com","None"
"2025-11-24 18:11:46","43.173.177.17","pag_principal","en-US","1280x1200","","None"
"2025-11-24 10:21:53","170.247.223.140","pag_principal","en-US","800x600","","None"
"2025-11-23 23:58:20","95.164.156.192","pag_principal","en-US","800x600","","None"
"2025-11-23 17:17:17","66.249.68.132","pag_principal","en-US","412x732","","None"
"2025-11-23 13:58:31","43.173.180.84","pag_principal","en-US","1280x1200","","None"
"2025-11-23 04:38:36","170.247.221.44","pag_principal","en-US","800x600","","None"
"2025-11-22 15:42:37","43.173.180.112","pag_principal","en-US","1280x1200","","None"
"2025-11-21 20:23:36","54.174.58.248","pag_principal","en-US","800x600","","None"
"2025-11-21 17:14:34","37.222.154.92","contacte","ca","1366x768","","None"
"2025-11-21 17:13:35","37.222.154.92","matematiques","ca","1366x768","","None"
"2025-11-21 17:13:35","37.222.154.92","pag_principal","ca","1366x768","","None"
"2025-11-21 15:38:06","66.220.149.51","pag_principal","en-US","2000x2000","http://m.facebook.com","None"
"2025-11-21 15:37:47","66.220.149.53","pag_principal","en-US","412x915","http://m.facebook.com","None"
"2025-11-21 15:17:58","62.36.116.149","pag_principal","es-ES","393x873","","None"
"2025-11-21 14:29:22","43.173.177.49","pag_principal","en-US","1280x1200","","None"
"2025-11-21 08:39:44","40.77.179.131","pag_principal","en-US","800x600","","None"
"2025-11-20 15:47:55","43.173.182.244","pag_principal","en-US","1280x1200","","None"
"2025-11-20 11:23:21","91.243.147.122","pag_principal","en-US","1536x864","https://www.google.com/","None"
"2025-11-20 07:37:36","170.247.221.74","pag_principal","en-US","800x600","","None"
"2025-11-20 06:31:29","40.77.179.212","pag_principal","en-US","800x600","","None"
"2025-11-20 05:38:54","66.249.68.133","pag_principal","en-US","412x732","","None"
"2025-11-20 04:23:59","66.249.68.133","pag_principal","en-US","412x732","","None"
"2025-11-19 16:09:46","149.56.150.42","pag_principal","en-US","1920x1080","","None"
"2025-11-19 07:14:20","74.125.150.134","pag_principal","en-US","360x600","","None"
"2025-11-19 03:43:09","143.137.165.111","pag_principal","en-US","800x600","","None"
"2025-11-18 13:01:21","43.173.175.17","pag_principal","en-US","1280x1200","","None"
"2025-11-18 11:56:40","173.252.127.6","pag_principal","en-US","2000x2000","http://m.facebook.com","None"
"2025-11-18 11:56:24","173.252.127.0","pag_principal","en-US","440x956","http://m.facebook.com","None"
"2025-11-18 11:22:06","94.131.64.84","pag_principal","en-US","800x600","","None"
"2025-11-18 08:23:51","188.63.6.57","pag_principal","en","1920x1080","","None"
"2025-11-18 04:34:58","74.125.150.132","pag_principal","en-US","360x600","","None"
"2025-11-18 03:43:06","44.242.164.168","pag_principal","en-US","800x600","","None"
"2025-11-17 23:46:19","149.57.191.26","pag_principal","en-US","1920x890","","None"
"2025-11-17 16:27:07","43.173.179.220","pag_principal","en-US","1280x1200","","None"
"2025-11-17 01:26:04","66.249.68.134","pag_principal","en-US","412x732","","None"
"2025-11-16 16:22:23","66.249.68.133","pag_principal","en-US","412x732","","None"
"2025-11-16 15:33:14","43.173.175.169","pag_principal","en-US","1280x1200","","None"
"2025-11-16 01:52:43","66.249.68.133","pag_principal","en-US","412x732","","None"
"2025-11-15 16:37:44","43.173.178.114","pag_principal","en-US","1280x1200","","None"
"2025-11-14 17:59:17","43.173.179.82","pag_principal","en-US","1280x1200","","None"
"2025-11-14 13:42:38","31.13.115.113","pag_principal","en-US","2000x2000","https://www.facebook.com/","None"
"2025-11-14 13:42:22","31.13.115.14","pag_principal","en-US","2000x2000","https://www.facebook.com/","None"
"2025-11-14 13:31:57","173.252.95.8","pag_principal","en-US","2000x2000","http://m.facebook.com","None"
"2025-11-14 13:31:39","173.252.95.37","pag_principal","en-US","440x956","http://m.facebook.com","None"
"2025-11-14 13:29:23","31.13.127.7","pag_principal","en-US","2000x2000","https://www.facebook.com/","None"
